date,slot,home,away,prediction,actual_winner,correct,confidence,ml_home_prob,ml_away_prob,ml_intervened,pattern_reason,home_win_desc,away_win_desc,slot_fav_desc,bm_label,actual,home_score,away_score,winner
2026-04-03,1.0,Doosan Bears,Hanwha Eagles,PASS,Hanwha Eagles,,0.0,0.5,0.5,False,,,,,,,,,
2026-04-03,2.0,KIA Tigers,NC Dinos,PASS,NC Dinos,,0.0,0.5,0.5,False,,,,,,,,,
2026-04-03,3.0,Kiwoom Heroes,LG Twins,AWAY(LG Twins),Kiwoom Heroes,0.0,0.85,0.5,0.5,False,,,,,,,,,
2026-04-03,4.0,KT Wiz Suwon,Samsung Lions,PASS,Samsung Lions,,0.0,0.5,0.5,False,,,,,,,,,
2026-04-03,5.0,Lotte Giants,SSG Landers,AWAY(SSG Landers),SSG Landers,1.0,0.785,0.5,0.5,False,,,,,,,,,
2026-04-04,1.0,Doosan Bears,Hanwha Eagles,AWAY(Hanwha Eagles),Hanwha Eagles,1.0,0.85,0.5,0.5,False,,,,,,,,,
2026-04-04,2.0,KIA Tigers,NC Dinos,AWAY(NC Dinos),NC Dinos,1.0,0.8,0.5,0.5,False,,,,,,,,,
2026-04-04,3.0,Kiwoom Heroes,LG Twins,HOME(Kiwoom Heroes),LG Twins,0.0,0.85,0.5,0.5,False,,,,,,,,,
2026-04-04,4.0,KT Wiz Suwon,Samsung Lions,AWAY(Samsung Lions),Samsung Lions,1.0,0.785,0.5,0.5,False,,,,,,,,,
2026-04-04,5.0,Lotte Giants,SSG Landers,PASS,SSG Landers,,0.0,0.5,0.5,False,,,,,,,,,
2026-04-05,1.0,Doosan Bears,Hanwha Eagles,AWAY(Hanwha Eagles),Doosan Bears,0.0,0.85,0.5,0.5,False,,,,,,,,,
2026-04-05,2.0,KIA Tigers,NC Dinos,AWAY(NC Dinos),KIA Tigers,0.0,0.8,0.5,0.5,False,,,,,,,,,
2026-04-05,3.0,Kiwoom Heroes,LG Twins,AWAY(LG Twins),LG Twins,1.0,0.85,0.5,0.5,False,,,,,,,,,
2026-04-05,4.0,KT Wiz Suwon,Samsung Lions,AWAY(Samsung Lions),KT Wiz Suwon,0.0,0.815,0.5,0.5,False,,,,,,,,,
2026-04-05,5.0,Lotte Giants,SSG Landers,PASS,SSG Landers,,0.0,0.5,0.5,False,,,,,,,,,
